2011.01.12;1,04;1,01
2011.01.19;1,05;1,03
2011.01.26;1,04;1,03
2011.02.02;1,03;1,02
2011.02.16;1,03;1,03
2011.02.23;1,04;1,03
2011.03.02;1,06;1,05
2011.03.09;1,07;1,06
2011.03.30;1,08;1,07
2011.04.11;1,09;1,07
2011.04.18;1,10;1,07
2011.05.04;1,11;1,06
2011.05.26;1,07;1,03
2011.06.01;1,09;1,05
2011.06.08;1,08;1,05
2011.06.15;1,06;1,05
2011.06.22;1,07;1,05
2011.06.29;1,06;1,03
2011.07.06;1,06;1,02
2011.07.13;1,08;1,04
2011.07.20;1,10;1,06
2011.07.27;1,11;1,07
2011.08.03;1,11;1,07
2011.08.10;1,10;1,06
2011.08.17;1,08;1,05
2011.09.07;1,10;1,06
2011.09.14;1,12;1,07
2011.09.21;1,13;1,09
2011.09.28;1,13;1,10
2011.10.12;1,13;1,12
2011.10.19;1,14;1,13
2011.10.26;1,13;1,14
2011.11.02;1,12;1,19
2011.11.09;1,13;1,20
2011.11.16;1,15;1,23
2011.11.23;1,13;1,24
2011.11.30;1,13;1,23
2011.12.07;1,13;1,22
2011.12.14;1,13;1,21
2011.12.21;1,13;1,20
2011.12.29;1,14;1,20
2012.01.04;1,18;1,24
2012.01.11;1,21;1,26
2012.01.18;1,22;1,28
2012.01.25;1,22;1,27
2012.02.01;1,20;1,24
2012.02.08;1,19;1,23
2012.02.15;1,20;1,24
2012.02.22;1,21;1,24
2012.03.07;1,22;1,24
2012.03.14;1,24;1,26
2012.03.21;1,26;1,27
2012.03.28;1,27;1,26
2012.04.04;1,28;1,26
2012.04.18;1,30;1,26
2012.04.25;1,28;1,26
2012.05.05;1,26;1,25
2012.05.09;1,23;1,23
2012.05.16;1,21;1,22
2012.05.31;1,22;1,23
2012.06.13;1,20;1,21
2012.06.20;1,19;1,20
2012.06.27;1,16;1,17
2012.07.11;1,18;1,19
2012.07.18;1,20;1,21
2012.07.25;1,21;1,23
2012.08.08;1,21;1,22
2012.08.15;1,23;1,23
2012.08.22;1,25;1,25
2012.09.05;1,25;1,26
2012.09.12;1,27;1,27
2012.09.19;1,25;1,25
2012.09.26;1,22;1,24
2012.10.10;1,23;1,24
2012.10.17;1,23;1,25
2012.10.26;1,20;1,23
2012.10.31;1,18;1,22
2012.11.07;1,15;1,21
2012.11.21;1,16;1,21
2012.12.05;1,15;1,20
2012.12.12;1,14;1,18
2012.12.19;1,16;1,18
2012.12.28;1,16;1,19
2013.01.04;1,18;1,20
2013.01.09;1,19;1,20
2013.01.16;1,19;1,22
2013.01.30;1,21;1,22
2013.02.06;1,23;1,22
2013.02.13;1,23;1,23
2013.02.20;1,24;1,24
2013.02.27;1,25;1,23
